
--------------+----------
          100 |      233
         1007 |      318
         1008 |      209
         1010 |      172
         1012 |      142
          101 |      238
         1014 |      345
         1019 |       17
         1019 |      283
          102 |      238
         1029 |      323
         1030 |      214
         1031 |      184
         1032 |      174
         1033 |      174
         1034 |      305
         1037 |      169
         1038 |      279
         1038 |      303
         1038 |       95
         1041 |      207
         1041 |      221
         1041 |       43
         1042 |      313
          104 |      235
         1043 |      192
         1044 |      192
         1045 |      259
         1045 |       68
         1047 |      201
         1047 |      366
         1048 |      125
         1048 |      328
         1048 |      357
         1053 |      285
         1053 |      363
         1053 |       92
         1054 |      281
         1057 |      283
         1057 |      292
         1057 |      330
         1058 |      223
         1058 |      284
         1059 |      223
         1059 |      284
         1060 |      321
         1062 |      273
         1063 |      273
         1064 |      200
         1065 |      200
         1066 |      188
         1067 |      158
         1071 |      201
         1071 |      366
         1072 |      306
         1072 |      369
         1073 |       40
         1074 |       40
         1075 |      285
         1076 |      306
         1076 |      369
         1077 |      240
         1078 |      363
         1079 |      157
         1080 |      364
         1081 |      364
          108 |      312
         1083 |      180
         1083 |       20
         1083 |      212
         1083 |      268
          108 |      346
          108 |      349
         1084 |      245
         1087 |      245
         1090 |      215
         1090 |      359
         1091 |      356
         1091 |       58
         1091 |       77
         1092 |      120
          109 |      312
          109 |      346
          109 |      349
         1093 |       80
         1094 |      110
         1094 |      135
         1095 |      160
         1097 |      368
         1098 |      358
         1099 |      358
         1101 |        8
         1102 |      252
         1103 |      240
         1104 |      240
         1105 |      292
         1108 |      174
         1109 |      367
         1110 |      240
         1111 |      240
         1112 |      240
         1113 |      348
         1114 |      345
         1115 |      240
         1116 |      135
         1116 |      139
         1116 |      279
         1116 |       95
         1117 |      360
         1118 |      267
         1119 |      124
         1119 |      348
         1120 |      124
         1120 |      348
         1121 |      245
          112 |      263
         1122 |       92
         1123 |      184
         1124 |        4
         1125 |      292
         1126 |      195
         1128 |      158
         1129 |      180
         1129 |       20
         1129 |      212
         1129 |      268
         1130 |      269
         1131 |      269
         1132 |      135
         1132 |       90
         1133 |      227
         1133 |      240
         1135 |      168
